"trialType","condition","intervalNum","numPicN","correct","corr.cih","corr.cil"
"Same","No-Social",0,2,0.979658792650919,0.0104986876640421,0.0124671916010498
"Switch","No-Social",0,2,0.770341207349081,0.0498687664041995,0.0590715223097114
"Same","Social",0,2,0.960069444444444,0.0347222222222222,0.0555555555555556
"Switch","Social",0,2,0.589015151515151,0.0946969696969697,0.0909564393939393
"Same","No-Social",1,2,0.926470588235294,0.0280112044817927,0.0273109243697479
"Switch","No-Social",1,2,0.820028011204482,0.038515406162465,0.0406162464985994
"Same","Social",1,2,0.916666666666667,0.0569105691056911,0.0691565040650407
"Switch","Social",1,2,0.632575757575758,0.0871212121212122,0.0946969696969697
"Same","No-Social",3,2,0.865217391304348,0.0369565217391304,0.0370108695652174
"Switch","No-Social",3,2,0.722463768115942,0.0478623188405797,0.0507608695652174
"Same","Social",3,2,0.861702127659574,0.0709219858156028,0.083377659574468
"Switch","Social",3,2,0.705555555555556,0.0740740740740741,0.0740740740740741
"Same","No-Social",7,2,0.85594315245478,0.0335917312661499,0.037483850129199
"Switch","No-Social",7,2,0.695963541666667,0.050146484375,0.0494791666666666
"Same","Social",7,2,0.817028985507246,0.0742753623188406,0.0778985507246377
"Switch","Social",7,2,0.623106060606061,0.0928030303030304,0.0947443181818181
"Same","No-Social",0,4,0.931286549707602,0.0314327485380117,0.0343750000000002
"Switch","No-Social",0,4,0.508040935672515,0.0584978070175439,0.0562865497076023
"Same","Social",0,4,0.896929824561403,0.0537280701754387,0.0581414473684211
"Switch","Social",0,4,0.30625,0.065625,0.0645833333333334
"Same","No-Social",1,4,0.824858757062147,0.0459392655367232,0.0494526836158191
"Switch","No-Social",1,4,0.435734463276836,0.0536723163841807,0.0572210451977401
"Same","Social",1,4,0.836382113821138,0.056910569105691,0.0589430894308943
"Switch","Social",1,4,0.30421686746988,0.0552208835341365,0.0562248995983936
"Same","No-Social",3,4,0.766381766381766,0.0477207977207977,0.047008547008547
"Switch","No-Social",3,4,0.46011396011396,0.0584045584045584,0.056980056980057
"Same","Social",3,4,0.711382113821138,0.0670985772357723,0.0691565040650406
"Switch","Social",3,4,0.310975609756098,0.0711636178861788,0.0670731707317073
"Same","No-Social",7,4,0.765942028985507,0.0463768115942029,0.0478260869565217
"Switch","No-Social",7,4,0.477536231884058,0.0572463768115942,0.0521920289855072
"Same","Social",7,4,0.705357142857143,0.0724206349206349,0.0774057539682541
"Switch","Social",7,4,0.330321285140562,0.0682981927710843,0.0693022088353414
"Same","No-Social",0,6,0.854700854700855,0.0726495726495727,0.079059829059829
"Switch","No-Social",0,6,0.307692307692308,0.0897970085470085,0.0854700854700855
"Same","Social",0,6,0.921428571428571,0.0642857142857144,0.0785714285714285
"Switch","Social",0,6,0.18287037037037,0.0763888888888889,0.0671875
"Same","No-Social",1,6,0.771428571428571,0.0857142857142856,0.0880952380952381
"Switch","No-Social",1,6,0.311274509803922,0.0833333333333333,0.0784313725490196
"Same","Social",1,6,0.882113821138211,0.0691565040650406,0.0752032520325203
"Switch","Social",1,6,0.252032520325203,0.0894308943089431,0.0792682926829268
"Same","No-Social",3,6,0.719907407407407,0.0856481481481481,0.101851851851852
"Switch","No-Social",3,6,0.259259259259259,0.087962962962963,0.0857060185185185
"Same","Social",3,6,0.779279279279279,0.0923423423423423,0.105855855855856
"Switch","Social",3,6,0.222222222222222,0.0940705128205128,0.0833867521367521
"Same","No-Social",7,6,0.634803921568627,0.127450980392157,0.129901960784314
"Switch","No-Social",7,6,0.29656862745098,0.100551470588235,0.0931372549019608
"Same","Social",7,6,0.689814814814815,0.0787037037037037,0.0763888888888888
"Switch","Social",7,6,0.252314814814815,0.0926504629629629,0.0856481481481482
"Same","No-Social",0,8,0.892450142450142,0.0356125356125356,0.042022792022792
"Switch","No-Social",0,8,0.215099715099715,0.0384793447293447,0.0377849002849003
"Same","Social",0,8,0.951754385964912,0.0350877192982456,0.0394736842105263
"Switch","Social",0,8,0.177083333333333,0.0938541666666665,0.0833333333333333
"Same","No-Social",1,8,0.795321637426901,0.0548428362573099,0.0592288011695906
"Switch","No-Social",1,8,0.222953216374269,0.0490131578947368,0.0482638888888889
"Same","Social",1,8,0.837121212121212,0.0738636363636364,0.0852272727272728
"Switch","Social",1,8,0.157894736842105,0.0942982456140351,0.0789473684210526
"Same","No-Social",3,8,0.630530973451327,0.0590154867256636,0.0619469026548672
"Switch","No-Social",3,8,0.161549707602339,0.0409539473684211,0.0402046783625731
"Same","Social",3,8,0.716666666666667,0.0854166666666667,0.0979166666666667
"Switch","Social",3,8,0.0968468468468468,0.0540540540540541,0.0495495495495495
"Same","No-Social",7,8,0.617690058479532,0.0621345029239766,0.0606725146198831
"Switch","No-Social",7,8,0.180059523809524,0.0401971726190476,0.0372209821428572
"Same","Social",7,8,0.552631578947368,0.111896929824561,0.114089912280702
"Switch","Social",7,8,0.166666666666667,0.0765765765765766,0.0720720720720721
